Chunk_ID,Longitude,Latitude,Altitude_m,MC_Draws,Cluster_Size
1,84.59947463050426,27.63823823719646,228.4,5,36
2,84.74831066305138,27.667360785177017,699.8,5,55
3,84.6918427362395,27.584617628878096,240.0,5,47
4,84.70139240062412,27.639824380759947,536.0,5,50
5,84.72415319032608,27.707566124873413,1031.6,5,66
6,84.65609154274017,27.594171874985847,224.4,5,37
7,84.78512413821618,27.707928921205614,1096.8,5,49
8,84.6534277295168,27.663796547142223,615.2,5,62
9,84.64816336945992,27.620197340792576,306.0,5,64
10,84.68995525332636,27.704681723642853,1285.2,5,42
11,84.71566265317031,27.596775081937317,666.4,5,67
12,84.63803200123375,27.650157120291432,344.6,5,66
13,84.60606586745843,27.66933067011403,293.6,5,55
14,84.72313991245694,27.666539631371823,510.6,5,40
15,84.75264674812956,27.720699456041856,965.2,5,49
16,84.6089491008956,27.59906866832156,212.8,5,37
17,84.67801284121711,27.60983928640806,425.2,5,56
18,84.68485063904032,27.671591764788094,1048.8,5,54
19,84.71551027919011,27.629188639293496,422.6,5,69
20,84.74793524040125,27.696652790340444,959.6,5,43
21,84.65627975132215,27.63692970563313,404.2,5,49
22,84.7192696519705,27.68954218930099,944.6,5,49
23,84.76703626258899,27.677294013318686,1198.4,5,38
24,84.67995559696074,27.645612151706064,564.2,5,47
25,84.62877999708931,27.66432141913544,399.6,5,57
26,84.6360670841541,27.591846023665077,217.2,5,59
27,84.71534633124564,27.57195786512888,255.8,5,55
28,84.76388038981287,27.695145974863074,1430.0,5,41
29,84.73935267226992,27.688453541607032,772.8,5,40
30,84.71245294908191,27.724696398102267,1497.4,5,59
31,84.6739194535092,27.6119569072601,377.4,5,50
32,84.66684531251222,27.6733359532658,933.0,5,60
33,84.61306640253378,27.628607527494484,229.8,5,62
34,84.71578993167242,27.61062927498967,844.8,5,67
35,84.62390322923109,27.655930450378822,360.4,5,62
36,84.68126276863885,27.62737861661951,432.2,5,57
37,84.6761848083801,27.594310126690637,229.8,5,41
38,84.63684614453582,27.617641820789032,237.0,5,54
39,84.64954240618289,27.58433078814063,220.4,5,50
40,84.6910250406602,27.661200164417924,713.4,5,54
41,84.72344699005735,27.654807948405953,638.8,5,69
42,84.74104273037031,27.720760853119252,893.6,5,45
43,84.72833983496527,27.62175111106896,406.4,5,50
44,84.75986418755163,27.662914481021087,1166.6,5,47
45,84.62806076933724,27.67329260848556,518.2,5,48
46,84.71549638263966,27.587556808584857,362.0,5,73
47,84.70827763297027,27.709880446620513,1395.2,5,46
48,84.65435991088403,27.60308308952793,226.8,5,36
49,84.70458375499965,27.60804576946652,760.2,5,50
50,84.73247355137347,27.607859389352416,526.2,5,50
51,84.6932751797279,27.684516849048684,968.6,5,65
52,84.69782637380496,27.592814410808483,313.4,5,52
53,84.75634178862525,27.678693473088973,812.6,5,49
54,84.62233749227103,27.63511080098038,275.4,5,52
55,84.77579147854851,27.687489425659404,1629.2,5,33
56,84.75903546587728,27.7149196825542,864.4,5,35
57,84.73901632633624,27.695720070814197,757.8,5,43
58,84.60686562795341,27.652728206595835,305.2,5,43
59,84.68095019784423,27.585763756900967,230.6,5,50
60,84.70872476702483,27.649149232685076,535.6,5,47
61,84.60191475834927,27.620002157448287,211.8,5,49
62,84.70711473766377,27.572733111287558,251.2,5,46
63,84.6712533455155,27.66624864295007,685.8,5,57
64,84.66884442214109,27.649557380077134,521.8,5,60
65,84.73171366477439,27.662670713301832,511.2,5,51
66,84.64679479691831,27.644574359264382,334.8,5,67
67,84.69985845248421,27.72381889894099,1577.4,5,37
68,84.72348330576108,27.591905142202897,395.6,5,45
69,84.70379770467765,27.669261341138107,792.6,5,54
70,84.77653020250463,27.704961933352994,1100.6,5,56
71,84.66687463793708,27.64162406445216,390.4,5,47
72,84.62978814209357,27.58895413677838,217.0,5,58
73,84.74887124608028,27.655373776681873,676.6,5,32
74,84.78164487223282,27.71320222049579,1193.6,5,48
75,84.70441231787889,27.633892003972935,491.4,5,70
76,84.62434376708669,27.60747590483157,215.0,5,49
77,84.6518613027891,27.63701458887302,381.0,5,57
78,84.6196347941835,27.67251632782453,371.0,5,56
79,84.68569818456108,27.611320957961095,672.6,5,52
80,84.69457749723747,27.69047856545093,1294.8,5,60
81,84.66151304604058,27.607645471498596,253.6,5,53
82,84.75124283296863,27.707806335461065,945.6,5,56
83,84.7600637850742,27.71593174006008,925.6,5,60
84,84.64913729562016,27.6110419041781,255.4,5,50
85,84.79298588763848,27.699914530469524,1414.0,5,46
86,84.6573368347501,27.622088902437575,381.2,5,57
87,84.72989600387585,27.590391521637876,362.6,5,52
88,84.66789264466821,27.593024082795353,228.0,5,40
89,84.73201516038841,27.696216235507368,691.2,5,38
90,84.7620031997422,27.67316136811081,1060.8,5,43
91,84.67614072491625,27.600597193147088,275.8,5,47
92,84.73629509613367,27.71454951282746,846.0,5,49
93,84.64100053124922,27.598147613985613,219.4,5,45
94,84.62294058629494,27.65060428034563,337.0,5,52
95,84.65582050015942,27.64751622632278,346.4,5,59
96,84.74835139035929,27.664360965331145,897.6,5,45
97,84.70522567163657,27.638113805612956,520.0,5,51
98,84.69426967428203,27.64681646223519,730.8,5,45
99,84.64452703312178,27.579191894100603,222.4,5,42
100,84.70943179871814,27.62134311417354,617.6,5,43
101,84.75131993787882,27.72811940108286,1263.0,5,43
102,84.59659556682544,27.631795723870606,220.4,5,52
103,84.68595805950888,27.663043759438672,789.2,5,46
104,84.72734709046836,27.670911091339743,539.8,5,37
105,84.6753172457885,27.635815093871056,397.2,5,59
106,84.66985154189365,27.585263383745616,227.8,5,43
107,84.63311063576094,27.62696846510935,255.4,5,49
108,84.66795696351018,27.67300098781933,986.6,5,55
109,84.72666632640211,27.701660812519243,1062.0,5,48
110,84.77680086513496,27.699581845434135,1601.2,5,40
111,84.72326129420811,27.717567551387653,1155.0,5,39
112,84.73363458419949,27.669113586636353,624.4,5,60
113,84.75921458941716,27.729922057636557,1325.4,5,54
114,84.60530186822513,27.628188232867846,218.8,5,51
115,84.64055401006931,27.666326307730706,533.8,5,55
116,84.6261847179895,27.594197452726366,214.4,5,45
117,84.71668036218796,27.70014411445556,1288.2,5,58
118,84.59708491983272,27.643442233079135,226.8,5,27
119,84.70906787206283,27.5745317800537,258.4,5,50
120,84.69912593176136,27.71044676184517,1726.2,5,37
121,84.72062430628853,27.68894979342743,811.6,5,51
122,84.70291732422997,27.68772839734668,799.6,5,40
123,84.69056017582803,27.58005607803241,238.6,5,59
124,84.64086542232432,27.604683808440598,218.8,5,51
125,84.68694961918395,27.672117801996865,906.8,5,50
126,84.69118996330025,27.633420079612673,432.0,5,56
127,84.7393518005824,27.661440539116935,710.0,5,56
128,84.68445265764291,27.61638182851659,524.8,5,46
129,84.77503418695842,27.691526153752367,1595.8,5,40
130,84.60942816877457,27.621417918429433,217.8,5,46
131,84.63114128552799,27.63858692214249,312.8,5,74
132,84.79112173606983,27.68422753592367,1416.2,5,44
133,84.66930264346885,27.608937122046328,285.4,5,59
134,84.78181078630475,27.719382173321954,1332.2,5,39
135,84.70325329694113,27.593737688415562,356.0,5,62
136,84.7488275676024,27.690645510076294,769.4,5,50
137,84.7661635300535,27.685852728518515,1040.0,5,50
138,84.76436326158192,27.701355907468727,1247.8,5,48
139,84.66007172531039,27.652797106234107,440.4,5,51
